BackupNetworkWorkstation.exe	Novosoft Handy Backup
BacsTray.exe	Broadcom Advanced Control Suite
Bandoo.exe	Bandoo Toolbar
Bandwidth-Gauges.exe	Solarwinds tool
BarsumCollector.exe	Reksoft Barsoom Billing
BcmSqlStartupSvc.exe	Sql for Outlook 2007
Bct.exe	SC Controller
Bctsched.exe	SC Scheduler
Bginfo.exe	+++ Potential Admin/Analyst Tool +++
Bginfo64.exe	+++ Potential Admin/Analyst Tool +++
Biprep.exe	??? Browser Helper Object Spyware ???
BlackBerryAgent.exe	BlackBerry software
BlackBerryAgent.exe	BlackBerry software
BlackBerryController.exe	BlackBerry software
BlackBerryDispatcher.exe	BlackBerry software
BlackBerryMailStoreSrvr.exe	Blackberry software
BlackBerryPolicyServer.exe	Blackberry software
BlackBerrySyncServer.exe	BlackBerry software
BlackberryRouter.exe	BlackBerry software
BlicToIPTVService.exe	IPTV BlicToIPTV
BlitzIn2.exe	Internet Chess Club Software
BoamLauncher.exe	Switch Commander Application
BrightStorMgr.exe	CA BrightStor ARCserve Backup
BttnServ.exe	Compaq EasyAccess Buttons Support
Buddy.exe	??? Solid Peer Spyware ???
BuhtaClient.exe	Buhta Russian Financial/Admin Software
Bwv.exe	BackWeb component
CAAntiSpyware.exe	!!! CA Internet Security Suite 2007 !!!
CALogDump.exe	!!! CA Internet Security Suite 2007 !!!
CAP2LAK.EXE	Canon Traybar Utility
CAP2RSK.EXE	Canon Advanced Printing RPC Server Service
CAP2SWK.EXE	Canon Advanced Printing Printer Status Window
CAP3LAK.EXE	Canon Advanced Printing Technology PSW Launcher
CAP3RSK.EXE	Canon Printer Status Window
CAP3SWK.EXE	Canon Printer Status Window
CAPPActiveProtection.exe	!!! CA Internet Security Suite 2007/8/9 !!!
CAPPActiveProtection.exe    	!!! CA Internet Security Suite 2007 !!!
CAPPSWK.EXE	Canon Advanced Printing Printer Status Window
CAPRPCSK.EXE	Canon
CASMRTBK.EXE	CA BrightStor ARCserve Backup
CBWHost.exe	Compaq Bitware Fax
CCAP.EXE	!!! Symantec !!!
CCAgent.exe	Siemens WinCC Agent run script siemens.eps)
CCC.exe	ATI Catalyst Control Center
CCCT.exe	Cisco AnyConnect VPN Client
CCEServer.exe	Siemens WinCC process run script siemens.eps)
CCSRVC.exe	Carbon Copy
CCenter.exe	!!! Rising !!!
CClaw.exe	!!! Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1
CEC_MAIN.exe	Chicony Camera Assistant Software
CESConverter110NT.exe	Coveo enterprise search
CESService370NT.exe	Coveo enterprise serach
CFEngine.exe	Alt-N MDAEMON CFEngine
CFFiles.exe	CryptoForge Encryption
CFUS15.EXE	Allaire Cold Fusion
CGServer.exe	ComuniGate Messaging Server
CGStarter.exe	ComuniGate Messaging Server
CHROME.EXE	Google Chrome
CIRBISC_NEW_unicode.exe	IRBIS Russian Dictionary/Catalog
CITRIX.exe	Citrix VM Server
CLNTRUST.EXE	Novell BorderManager
CLPS.exe	!!! Comodo !!!
CLPSLA.exe	!!! Comodo !!!
CLPSLS.exe	!!! Comodo !!!
CLSBUPD.EXE	Wclient108 Banking Software
CMESys.exe	??? Adware.W32.Claria ???
